make,model,year,mileage,city,color,trans,price
Gmc,Suburban,2020,267339,Mecca,Blue,Automatic,179000
Toyota,Land Cruiser,2016,71921,Dammam,White,Automatic,179000
Jaguar,F-Pace,2019,4000,Riyadh,Grey,Automatic,179000
Toyota,Land Cruiser,2018,31729,Jeddah,White,Automatic,179000
Cadillac,Escalade,2015,31776,Riyadh,Red,Automatic,178000
Lexus,Gs,2016,69883,Jeddah,White,Automatic,178000
Cadillac,Escalade,2015,44966,Jeddah,Black,Automatic,178000
Cadillac,Escalade,2015,42000,Jeddah,Black,Automatic,178000
Gmc,Yukon Slt,2017,78000,Riyadh,White,Automatic,178000
Cadillac,Escalade,2015,37000,Riyadh,Red,Automatic,178000
Cadillac,Ct6,2017,26000,Jeddah,White,Automatic,178000
Cadillac,Escalade Platinum,2015,66000,Riyadh,Black,Automatic,178000
Lexus,Gs350,2016,61000,Jeddah,White,Automatic,178000
Chevrolet,Tahoe Rst,2019,38000,Riyadh,Beige,Automatic,177000
Toyota,Land Cruiser,2016,164357,Riyadh,Black,Automatic,177000
Lexus,Rx,2019,14871,Riyadh,White,Automatic,177000
Lexus,Rx350,2019,18000,Riyadh,White,Automatic,177000
Toyota,Land Cruiser,2016,162000,Riyadh,Black,Automatic,177000
Jaguar,F-Pace,2017,57000,Jeddah,Silver,Automatic,176000
Toyota,Cressida,2020,232478,Al Madinah,White,Manual,176000
Cadillac,Ct6,2018,10146,Riyadh,White,Automatic,175000
Hyundai,Genesis,2017,36000,Jeddah,Gray,Automatic,175000
Lexus,Lx570,2014,129000,Jeddah,White,Automatic,175000
Toyota,Land Cruiser,2016,55478,Dammam,White,Automatic,175000
Lexus,Ls460,2015,140000,Jeddah,White,Automatic,175000
Cadillac,Ct6,2018,10000,Riyadh,Snow White,Automatic,175000
Ford,Expedition,2018,240,Jeddah,Golden,Automatic,175000
Land Rover,Range Rover Hse,2015,115000,Riyadh,White,Automatic,175000
Land Rover,Range Rover Sport Hse,2014,96760,Mecca,White,Automatic,175000
Lexus,Lx,2014,116364,Jeddah,Black,Automatic,175000
Hyundai,Genesis,2017,63000,Jeddah,Blue,Automatic,175000
Hyundai,Genesis,2017,30809,Jeddah,Grey,Automatic,175000
Gmc,Yukon Xl,2019,9000,Jeddah,Black,Automatic,175000
Lexus,Ls460,2015,55000,Jeddah,Brown,Automatic,175000
Lexus,Nx200T,2017,25000,Dammam,White,Automatic,175000
Jeep,Wrangler Rubicon,2019,6100,Dammam,Silver,Automatic,175000
Lexus,Lx,2014,127864,Jeddah,White,Automatic,175000
Cadillac,Ct6,2017,45700,Sharqiya,Blue,Automatic,175000
Lexus,Ls460L,2014,69000,Jeddah,Brown,Automatic,175000
Gmc,Yukon,2016,95000,Riyadh,White,Automatic,175000
Gmc,Yukon,2017,57059,Jeddah,Grey,Automatic,175000
Toyota,Corolla,2020,97862,Jazan,Grey,Manual,175000
Suzuki,Jimny,2020,1000,Riyadh,White,Automatic,175000
Land Rover,Range Rover Sport Supercharged,2014,69000,Riyadh,Blue,Automatic,175000
Dodge,Challenger,2016,52889,Riyadh,Grey,Automatic,175000
Lexus,Ls600HL,2015,95000,Jeddah,Blue,Automatic,175000
Cadillac,Escalade Premium,2016,107000,Sharqiya,Silver,Automatic,175000
Gmc,Yukon Sle,2019,7000,Jeddah,Beige,Automatic,175000
Lexus,Gs350,2015,18000,Jeddah,Golden,Automatic,175000
Land Rover,Range Rover Sport Autobiography,2014,61000,Riyadh,Grey,Automatic,175000
Dodge,Challenger,2016,54000,Riyadh,Dark Gray,Automatic,175000
Land Rover,Range Rover Sport Hst,2014,62000,Riyadh,White,Automatic,175000
Jaguar,Xe,2020,5000,Jeddah,Black,Automatic,175000
Gmc,Yukon,2017,55000,Jeddah,Gray,Automatic,175000
Cadillac,Ct6,2018,10000,Riyadh,White,Automatic,175000
Toyota,Land Cruiser,2016,58190,Riyadh,White,Automatic,175000
Lexus,Ls,2015,198235,Khamis Mushayt,Gold,Automatic,175000
Toyota,Land Cruiser,2016,118232,Dammam,White,Automatic,174000
Volkswagen,Teramont R Line,2019,32300,Sharqiya,Silver,Automatic,173410
Toyota,Land Cruiser,2016,132533,Riyadh,White,Automatic,173000
Jaguar,F-Pace S,2017,25210,Riyadh,Grey,Automatic,172883
Cadillac,Escalade,2017,91312,Jeddah,Black,Automatic,172000
Toyota,Land Cruiser Gxr,2015,26000,Riyadh,Black,Automatic,171000
Ford,Expedition Xlt,2018,25000,Jeddah,Blue,Automatic,170000
Land Rover,Range Rover Evoque,2018,22000,Sharqiya,Black,Automatic,170000
Lexus,Lx570,2014,200000,Jeddah,White,Automatic,170000
Lexus,Gs350,2016,24000,Riyadh,Silver,Automatic,170000
Gmc,Yukon Sle,2020,900,Jeddah,Purple,Automatic,170000
Nissan,Patrol,2016,68902,Dammam,White,Automatic,170000
Toyota,Land Cruiser,2015,3742,Riyadh,White,Automatic,170000
Toyota,Land Cruiser,2015,9300,Riyadh,White,Automatic,170000
Jaguar,F-Type,2016,25000,Jeddah,White,Automatic,170000
Lexus,Lx,2012,148783,Dammam,White,Automatic,170000
Toyota,Land Cruiser,2016,85000,Jeddah,White,Automatic,170000
Lexus,Lx,2014,374513,Jeddah,White,Automatic,170000
Toyota,Land Cruiser,2016,85587,Jeddah,White,Automatic,170000
Gmc,Savana,2013,12000,Jeddah,Black,Automatic,170000
Cadillac,Ct6 Platinum,2017,47000,Jeddah,Grey,Automatic,170000
Volkswagen,Arteon,2018,4800,Sharqiya,Red,Automatic,170000
Suzuki,Jimny,2020,500,Jeddah,Black,Automatic,170000
Gmc,Yukon,2019,704,Jeddah,Brown,Automatic,170000
Gmc,Yukon,2019,9000,Jeddah,Brown,Automatic,170000
Toyota,Land Cruiser,2020,3747,Jazan,White,Manual,170000
Cadillac,Escalade Premium,2015,45000,Riyadh,Gold,Automatic,170000
Chevrolet,Tahoe,2018,132000,Jeddah,Black,Automatic,170000
Ford,Motorhome,2016,1000,Jeddah,Gold,Automatic,170000
Chevrolet,Tahoe,2018,132768,Jeddah,Black,Automatic,170000
Land Rover,Sport,2015,94390,Riyadh,Black,Automatic,169000
Toyota,Land Cruiser,2016,165221,Riyadh,Black,Automatic,169000
Infiniti,Qx60 Premium,2019,11700,Riyadh,Silver,Automatic,169000
Infiniti,Qx60,2019,5550,Riyadh,White,Automatic,169000
Chevrolet,Tahoe,2016,33255,Riyadh,Black,Automatic,169000
Jaguar,F-Pace,2017,8000,Dammam,White,Automatic,169000
Land Rover,Sport,2015,80016,Riyadh,Black,Automatic,169000
Land Rover,Range Rover Sport Supercharged,2014,63000,Jeddah,Black,Automatic,169000
Jaguar,F-Pace,2019,10816,Riyadh,Blue,Automatic,169000
Toyota,Land Cruiser,2018,33000,Jeddah,White,Automatic,169000
Chevrolet,Tahoe,2016,39000,Riyadh,Black,Automatic,169000
Jaguar,Xe,2018,3641,Riyadh,Black,Automatic,168850
Chevrolet,Yukon,2020,341819,Al Hofuf,Green,Automatic,168500
Lexus,RcF,2015,91000,Riyadh,Grey,Automatic,168500
Toyota,Land Cruiser,2016,68839,Dammam,White,Automatic,168000
Jaguar,F-Pace,2017,59384,Jeddah,White,Automatic,168000
Volkswagen,Arteon,2019,19000,Jeddah,White,Automatic,168000
Lexus,Ls460,2015,104000,Riyadh,White,Automatic,168000
Nissan,Patrol Platinum,2017,39000,Jeddah,White,Automatic,168000
Toyota,Land Cruiser,2018,52000,Riyadh,White,Automatic,168000
Volkswagen,Teramont Se,2019,6460,Jeddah,White,Automatic,168000
Lexus,Lx,2013,399816,Khamis Mushayt,Gold,Automatic,167000
Toyota,Land Cruiser Gxr,2015,58000,Riyadh,Blue,Automatic,167000
Toyota,Land Cruiser,2016,100000,Riyadh,White,Automatic,166500
Toyota,Land Cruiser,2016,119218,Riyadh,White,Automatic,166500
Gmc,Yukon,2019,12000,Jeddah,Brown,Automatic,166000
Gmc,Yukon,2019,18232,Jeddah,Brown,Automatic,166000
Toyota,Prado,2020,6572,Riyadh,White,Automatic,166000
Volkswagen,Touareg,2018,18500,Jeddah,Grey,Automatic,165000
Jeep,Grand Cherokee Overland,2015,72300,Riyadh,Silver,Automatic,165000
Gmc,Yukon,2019,30000,Riyadh,Silver,Automatic,165000
Cadillac,Escalade,2015,132460,Riyadh,White,Automatic,165000
Toyota,Land Cruiser,2011,87623,Dammam,White,Automatic,165000
Toyota,Corolla,2020,241874,Jeddah,White,Manual,165000
Dodge,Charger,2016,53000,Riyadh,Blue,Automatic,165000
Gmc,Yukon Denali,2016,106000,Jeddah,Black,Automatic,165000
Nissan,Patrol Platinum,2016,77000,Jeddah,White,Automatic,165000
Cadillac,Ct6,2017,48000,Riyadh,Dark Gray,Automatic,165000
Lexus,Lx570,2014,199000,Riyadh,Grey,Automatic,165000
Land Rover,Discovery,2017,25000,Jeddah,White,Automatic,165000
Nissan,Patrol,2018,54787,Riyadh,White,Automatic,165000
Cadillac,Xt4,2020,400,Riyadh,Grey,Automatic,165000
Gmc,Yukon,2019,39588,Riyadh,Silver,Automatic,165000
