make,model,year,mileage,city,color,trans,price
Hyundai,Elantra,2019,53000,Jeddah,Beige,Automatic,59000
Kia,Carnival,2016,80000,Dammam,Beige,Automatic,59000
Ford,Taurus,2015,55000,Riyadh,Red,Automatic,59000
Toyota,Camry,2016,62025,Dammam,Black,Automatic,59000
Gmc,Yukon,2010,277300,Dammam,Silver,Automatic,59000
Nissan,Armada,2017,235020,Jeddah,Black,Automatic,59000
Hyundai,Tucson,2016,144112,Jeddah,White,Automatic,58900
Hyundai,Tucson,2016,147000,Jeddah,White,Automatic,58900
Ford,Taurus,2016,100000,Jeddah,Gray,Automatic,58900
Ford,Taurus,2015,90000,Jeddah,Black,Automatic,58900
Ford,Taurus,2016,113766,Jeddah,Grey,Automatic,58900
Hyundai,Santafe,2016,126127,Dammam,White,Automatic,58500
Hyundai,Sonata,2018,62172,Jeddah,White,Automatic,58500
Ford,Explorer,2012,143000,Jeddah,Brown,Automatic,58500
Hyundai,Sonata,2018,63000,Jeddah,White,Automatic,58500
Kia,Sorento,2016,65000,Jeddah,Gray,Automatic,58500
Chrysler,Grand Voyager,2014,14612,Riyadh,Red,Automatic,58139
Ford,Taurus,2015,109879,Al Qassim,Brown,Automatic,58000
Hyundai,Tucson,2016,99319,Jeddah,White,Automatic,58000
Hyundai,Tucson,2016,164943,Jeddah,Silver,Automatic,58000
Hyundai,Santafe,2016,40874,Jeddah,Blue,Automatic,58000
Ford,Taurus,2013,120000,Jeddah,Gray,Automatic,58000
Toyota,Fortuner,2015,163066,Jeddah,White,Automatic,58000
Ford,Explorer,2015,142000,Jeddah,White,Automatic,58000
Hyundai,Sonata,2016,86303,Riyadh,White,Automatic,58000
Toyota,Fortuner,2014,62584,Jeddah,Black,Automatic,58000
Toyota,Fj Cruiser,2010,127000,Jeddah,Beige,Automatic,58000
Nissan,Sunny,2017,173044,Jeddah,White,Manual,58000
Nissan,Pathfinder,2007,85000,Riyadh,White,Automatic,58000
Hyundai,Elantra,2018,2218,Jeddah,White,Automatic,58000
Ford,Taurus,2014,163000,Jeddah,Gray,Automatic,58000
Mitsubishi,Grandis,2017,195939,Mecca,White,Automatic,58000
Mini,Cooper,2013,43355,Jeddah,White,Automatic,58000
Ford,Taurus,2014,107910,Jeddah,Black,Automatic,58000
Ford,Taurus,2014,130003,Jeddah,Grey,Automatic,58000
Toyota,Innova,2015,267145,Jeddah,White,Automatic,58000
Toyota,Corolla,2017,48000,Jeddah,White,Automatic,58000
Toyota,Hilux,2014,156908,Dammam,White,Manual,58000
Isuzu,D Max,2016,149000,Jeddah,White,Manual,58000
Toyota,Hilux,2016,175000,Dammam,White,Automatic,58000
Chrysler,300,2013,119802,Dammam,Black,Automatic,58000
Hyundai,Sonata,2018,94567,Jeddah,Silver,Automatic,58000
Toyota,Camry,2017,192122,Muhayil,Beige,Manual,58000
Ford,Expedition,2013,210000,Riyadh,Black,Automatic,58000
Mini,Cooper S,2013,46000,Jeddah,White,Automatic,58000
Mini,Cooper,2013,46000,Jeddah,White,Automatic,58000
Chevrolet,Suburban,2013,131694,Riyadh,Silver,Automatic,58000
Toyota,Hilux,2017,83815,Jeddah,White,Manual,58000
Jaguar,Xf,2010,78000,Riyadh,Green,Automatic,58000
Mazda,6,2017,48000,Riyadh,White,Automatic,58000
Ford,Explorer,2015,151342,Jeddah,Black,Automatic,58000
Chevrolet,Express,2011,149070,Jeddah,Silver,Automatic,58000
Toyota,Fortuner,2014,64000,Jeddah,Black,Automatic,58000
Ford,Flex,2015,67412,Sharqiya,White,Automatic,58000
Renault,Talisman,2017,56000,Jeddah,Black,Automatic,58000
Toyota,Hilux,2018,4727,Jeddah,White,Manual,58000
Toyota,Hiace Bus,2009,430835,Riyadh,White,Manual,58000
Nissan,Armada,2015,61232,Dammam,Silver,Automatic,58000
Hyundai,Sonata,2017,53000,Riyadh,White,Automatic,58000
Hyundai,Sonata,2017,139710,Jeddah,White,Automatic,58000
Hyundai,Elantra,2019,498,Jeddah,Blue,Automatic,58000
Isuzu,D Max,2016,150000,Jeddah,White,Manual,58000
Gmc,Yukon,2011,127940,Dammam,Gold,Automatic,58000
Kia,Mohave,2016,84000,Jeddah,Gray,Automatic,58000
Hyundai,Sonata,2017,88755,Jeddah,Silver,Automatic,58000
Kia,Carnival,2016,80000,Jeddah,Red,Automatic,58000
Honda,Odyssey,2012,136808,Dammam,Silver,Automatic,58000
Toyota,Prado,2017,173434,Jeddah,White,Manual,58000
Toyota,Hilux,2016,170729,Dammam,White,Automatic,58000
Toyota,Fortuner,2015,164000,Jeddah,White,Automatic,58000
Kia,Optima,2016,111000,Jeddah,Red,Automatic,58000
Hyundai,Sonata,2017,55154,Riyadh,White,Automatic,58000
Mazda,6,2016,37535,Jeddah,Brown,Automatic,58000
Toyota,Camry,2016,140000,Jeddah,White,Automatic,58000
Kia,Cadenza,2016,152587,Dammam,White,Automatic,58000
Toyota,Hilux,2014,135077,Dammam,White,Manual,58000
Honda,Odyssey,2015,164358,Jeddah,Silver,Automatic,58000
Mazda,6,2015,70000,Jeddah,White,Automatic,58000
Toyota,Hilux,2014,130000,Dammam,White,Manual,58000
Hyundai,Santafe,2015,139949,Jeddah,Silver,Automatic,58000
Hyundai,Azera,2016,137870,Riyadh,Brown,Automatic,58000
Hyundai,Sonata,2018,83058,Jeddah,White,Automatic,58000
Hyundai,Sonata,2016,68856,Dammam,White,Automatic,58000
Ford,Taurus,2015,117546,Dammam,White,Automatic,58000
Toyota,Hilux,2018,9000,Jeddah,White,Manual,58000
Hyundai,Santa Fe,2015,130000,Jeddah,Silver,Automatic,58000
Ford,Taurus,2016,86146,Riyadh,White,Automatic,58000
Toyota,Fortuner,2013,172186,Dammam,White,Automatic,58000
Chevrolet,Caprice,2013,187816,Dammam,Silver,Automatic,58000
Toyota,Camry,2016,129383,Dammam,White,Automatic,58000
Chevrolet,Suburban,2014,368000,Jeddah,Brown,Automatic,58000
Kia,Mohave,2016,82303,Jeddah,Grey,Automatic,58000
Hyundai,Sonata,2018,87000,Jeddah,White,Automatic,58000
Toyota,Innova,2015,92305,Jeddah,White,Automatic,58000
Toyota,Fortuner,2015,117120,Dammam,White,Automatic,58000
Toyota,Innova,2015,200000,Jeddah,White,Automatic,58000
Mazda,6,2018,79000,Riyadh,White,Automatic,58000
Hyundai,Azera,2016,134000,Riyadh,Brown,Automatic,58000
Gmc,Sierra 1500,2008,169628,Dammam,White,Automatic,58000
Ford,Taurus,2015,80760,Dammam,White,Automatic,58000
Isuzu,D Max,2015,14663,Jeddah,White,Automatic,58000
Kia,Optima,2016,109197,Jeddah,Red,Automatic,58000
Honda,Odyssey,2015,167000,Jeddah,Silver,Automatic,58000
Ford,Taurus,2013,125814,Jeddah,Grey,Automatic,58000
Isuzu,D Max,2015,17000,Jeddah,White,Automatic,58000
Hyundai,Tucson,2016,90000,Jeddah,White,Automatic,58000
Mazda,6,2016,62263,Jeddah,Red,Automatic,58000
Toyota,Corolla,2016,77000,Jeddah,White,Automatic,58000
Hyundai,Sonata,2017,135000,Jeddah,White,Automatic,58000
Ford,Taurus,2014,107000,Jeddah,Black,Automatic,58000
Ford,Taurus,2015,127996,Al Qassim,Brown,Automatic,58000
Toyota,Fj Cruiser,2010,128112,Jeddah,Beige,Automatic,58000
Nissan,X- Trail,2016,57000,Riyadh,Gray,Automatic,58000
Mazda,6,2017,67912,Jeddah,Brown,Automatic,58000
Mazda,6,2016,35000,Jeddah,Brown,Automatic,58000
Nissan,X-Trail,2016,59034,Riyadh,Grey,Automatic,58000
Lexus,Ls,2007,483750,Jeddah,Silver,Automatic,58000
Ford,Taurus,2016,145078,Jeddah,Brown,Automatic,58000
Ford,Flex,2010,142058,Riyadh,Red,Automatic,58000
Hyundai,Sonata,2017,85000,Jeddah,Silver,Automatic,58000
Toyota,Hilux,2017,80000,Jeddah,White,Manual,58000
Chevrolet,Lumina,2017,169398,Al Riyadh,Black,Automatic,58000
Hyundai,Sonata,2016,89000,Riyadh,White,Automatic,58000
Hyundai,Azera,2016,71000,Jeddah,Grey,Automatic,58000
Hyundai,Sonata,2017,53000,Riyadh,White,Automatic,58000
Gmc,Yukon,2012,194903,Dammam,Black,Automatic,58000
Toyota,Corolla,2017,46327,Jeddah,White,Automatic,58000
Honda,Accord,2015,170000,Jeddah,White,Automatic,58000
Lincoln,Mkx,2014,50000,Jeddah,Silver,Automatic,58000
Kia,Carnival,2015,114451,Jeddah,White,Automatic,57900
Hyundai,Tucson,2016,60000,Jeddah,Gray,Automatic,57900
Hyundai,Tucson,2016,62256,Jeddah,Grey,Automatic,57900
Kia,Sedona,2015,113000,Jeddah,White,Automatic,57900
Chevrolet,Tahoe,2007,149000,Riyadh,Black,Automatic,57800
Ford,Expedition,2010,98697,Riyadh,Silver,Automatic,57800
Chevrolet,Tahoe,2007,146616,Riyadh,Black,Automatic,57800
Ford,Expedition,2010,98000,Riyadh,Silver,Automatic,57800
Toyota,Camry,2015,132262,Dammam,White,Automatic,57500
Hyundai,Sonata,2018,86000,Jeddah,Gray,Automatic,57500
Hyundai,Sonata,2018,86967,Jeddah,Grey,Automatic,57500
Ford,Explorer,2013,133000,Riyadh,Silver,Automatic,57000
Hyundai,Elantra,2020,9000,Jeddah,White,Automatic,57000
Mazda,6,2017,66471,Jeddah,Brown,Automatic,57000
Chevrolet,Tahoe,2011,400773,Riyadh,Silver,Automatic,57000
Mitsubishi,Pajero,2015,83000,Riyadh,White,Automatic,57000
Chevrolet,Aveo,2017,145667,Najran,Orange,Automatic,57000
Kia,Corris,2015,132000,Riyadh,White,Automatic,57000
Ford,Flex,2010,91908,Dammam,Blue,Automatic,57000
Ford,Expedition,2013,112000,Jeddah,Black,Automatic,57000
Jeep,Grand Cherokee,2011,309442,Dammam,Grey,Automatic,57000
Toyota,Hilux,2013,74883,Dammam,White,Manual,57000
Mitsubishi,Outlander,2016,73000,Riyadh,Blue,Automatic,57000
Ford,Taurus,2016,107000,Jeddah,White,Automatic,57000
Chevrolet,Silverado,2013,85784,Dammam,White,Automatic,57000
Hyundai,Sonata,2018,117513,Jeddah,White,Automatic,57000
Gmc,Sierra 1500,2009,160171,Dammam,Red,Automatic,57000
Honda,Accord,2016,176000,Jeddah,Gray,Automatic,57000
Dodge,Challenger,2014,81000,Riyadh,White,Automatic,57000
Toyota,Fortuner,2011,106299,Dammam,White,Automatic,57000
Toyota,Camry,2013,50000,Jeddah,Blue Sky,Automatic,57000
Ford,Expedition,2009,87000,Riyadh,Silver,Automatic,57000
Hyundai,Sonata,2017,100426,Jeddah,White,Automatic,57000
Honda,Accord,2014,215000,Riyadh,Brown,Automatic,57000
Hyundai,Santa Fe,2017,157013,Jeddah,Silver,Automatic,57000
Mazda,6,2017,60000,Jeddah,Brown,Automatic,57000
Ford,Expedition,2013,160000,Jeddah,Dark Blue,Automatic,57000
Mazda,6,2017,117592,Riyadh,White,Automatic,57000
Hyundai,Elantra,2020,3844,Jeddah,White,Automatic,57000
Ford,Taurus,2016,138000,Jeddah,White,Automatic,57000
Toyota,Camry,2014,86000,Riyadh,White,Automatic,57000
Hyundai,Elantra,2019,900,Jeddah,White,Automatic,57000
Gmc,Envoy,2017,164166,Dammam,Blue,Automatic,57000
Hyundai,Sonata,2018,111000,Jeddah,White,Automatic,57000
Toyota,Heise,2015,170000,Sharqiya,Brown,Manual,57000
Toyota,Hilux,2015,140495,Jeddah,White,Manual,57000
Ford,Expedition,2013,133369,Riyadh,Black,Automatic,57000
Hyundai,Santa Fe,2015,158000,Sharqiya,Gold,Automatic,57000
Toyota,Hilux,2015,433965,Dammam,White,Manual,57000
Isuzu,D Max,2016,100000,Jeddah,White,Manual,57000
Nissan,Armada,2015,112000,Jeddah,White,Automatic,57000
Hyundai,Sonata,2016,44398,Riyadh,Blue,Automatic,57000
Ford,Flex,2010,90000,Dammam,Blue,Automatic,57000
Toyota,Fortuner,2015,137121,Dammam,White,Automatic,57000
Hyundai,Sonata,2016,138000,Jeddah,Brown,Automatic,57000
Toyota,Aurion,2015,136787,Jeddah,White,Automatic,57000
Toyota,Hilux,2015,146000,Jeddah,White,Manual,57000
Toyota,Camry,2013,51692,Jeddah,Blue,Automatic,57000
Nissan,Urvan,2013,175693,Dammam,White,Manual,57000
Hyundai,Sonata,2017,106000,Jeddah,White,Automatic,57000
Ford,Taurus,2016,161000,Riyadh,White,Automatic,57000
Mazda,6,2017,104000,Riyadh,White,Automatic,57000
Hyundai,Elantra,2017,31000,Jeddah,Black,Automatic,57000
Ford,Taurus,2017,97000,Jeddah,White,Automatic,57000
Ford,Expedition,2013,110064,Jeddah,Black,Automatic,57000
Toyota,Hilux,2016,10101,Jeddah,White,Manual,57000
Ford,Taurus,2013,63688,Riyadh,Brown,Automatic,57000
Kia,Cadenza,2018,91593,Riyadh,Black,Automatic,57000
Mazda,6,2017,50000,Jeddah,Brown,Automatic,57000
Ford,Taurus,2016,138158,Jeddah,White,Automatic,57000
Mazda,6,2017,29578,Jeddah,Red,Automatic,57000
Hyundai,Sonata,2016,42000,Riyadh,Blue,Automatic,57000
Toyota,Rav4,2014,55839,Jeddah,White,Automatic,57000
Ford,Expedition,2013,134000,Riyadh,Black,Automatic,57000
Kia,Sportage,2017,98127,Jeddah,Silver,Automatic,57000
Isuzu,D Max,2016,58948,Jeddah,White,Manual,57000
Nissan,Armada,2015,114249,Jeddah,White,Automatic,57000
Mazda,6,2017,55817,Jeddah,Brown,Automatic,57000
Toyota,Rav4,2014,59000,Jeddah,White,Automatic,57000
Kia,Quoris,2015,131960,Riyadh,White,Automatic,57000
Toyota,Fortuner,2012,119001,Dammam,Black,Automatic,57000
Kia,Sportage,2017,95000,Jeddah,Silver,Automatic,57000
Toyota,Orion,2015,130000,Jeddah,White,Automatic,57000
Nissan,Sunny,2017,140818,Jeddah,Beige,Manual,57000
Kia,Carnival,2016,96493,Dammam,Black,Automatic,57000
Isuzu,D Max,2016,59000,Jeddah,White,Manual,57000
Toyota,Heise,2016,113000,Riyadh,White,Manual,57000
Toyota,Camry,2014,81674,Riyadh,White,Automatic,57000
Nissan,Pathfinder,2013,27294,Dammam,Blue,Automatic,57000
Isuzu,D Max,2016,118300,Jeddah,White,Manual,57000
Chevrolet,Tahoe,2012,258053,Dammam,Black,Automatic,57000
Kia,Optima,2014,45000,Jeddah,Black,Automatic,57000
Mitsubishi,Pajero,2016,76711,Riyadh,White,Automatic,57000
Kia,Cadenza,2018,91000,Riyadh,Black,Automatic,57000
Hyundai,H1,2015,54187,Riyadh,White,Automatic,57000
Ford,Expedition,2009,84022,Riyadh,Silver,Automatic,57000
Toyota,Landcruiser Pick Up,2011,183683,Dammam,Black,Manual,57000
Honda,Accord,2014,438601,Riyadh,Brown,Automatic,57000
Ford,Taurus,2013,67234,Riyadh,Grey,Automatic,57000
Nissan,Caravan,2017,150098,Al Riyadh,White,Manual,57000
Hyundai,Tucson,2016,112861,Jeddah,Silver,Automatic,56900
Hyundai,Tucson,2016,106000,Jeddah,Silver,Automatic,56900
Lexus,Is,2010,91220,Riyadh,Grey,Automatic,56900
Lexus,Is250,2010,95000,Riyadh,Dark Gray,Automatic,56900
Ford,Taurus,2014,94000,Riyadh,Silver,Automatic,56900
Ford,Taurus,2014,96134,Riyadh,Silver,Automatic,56900
Toyota,Camry,2017,104703,Jeddah,Grey,Automatic,56700
Toyota,Corolla,2017,97405,Jeddah,Gold,Automatic,56558
Toyota,Corolla,2017,94166,Jeddah,Golden,Automatic,56558
Mercury,Grand Marquis,2011,43714,Jeddah,White,Automatic,56500
Toyota,Camry Gl,2017,153000,Sharqiya,Black,Automatic,56500
Hyundai,Sonata,2018,123000,Jeddah,Silver,Automatic,56500
Hyundai,Sonata,2018,125962,Jeddah,Silver,Automatic,56500
Honda,City,2020,6924,Riyadh,White,Automatic,56260
Toyota,Corolla,2018,24691,Jeddah,White,Automatic,56250
Toyota,Sequoia,2009,417835,Jeddah,White,Automatic,56000
Lexus,Ls460,2008,180000,Dammam,Grey,Automatic,56000
Nissan,X-Trail,2017,118841,Taif,Silver,Automatic,56000
Ford,Edge,2013,179000,Riyadh,Red,Automatic,56000
Land Rover,Sport,2010,438321,Dammam,White,Automatic,56000
Chevrolet,Trail Blazer,2017,107000,Riyadh,Grey,Automatic,56000
Kia,Sportage,2017,97622,Jeddah,White,Automatic,56000
Nissan,Navara,2015,140000,Jeddah,Dark Brown,Manual,56000
Chevrolet,Impala,2014,77655,Riyadh,Golden,Automatic,56000
Toyota,Sequoia,2009,280000,Jeddah,White,Automatic,56000
Honda,Pilot,2011,160391,Dammam,Grey,Automatic,56000
Hyundai,H1,2018,85000,Sharqiya,Beige,Automatic,56000
Ford,Explorer,2011,138056,Dammam,White,Automatic,56000
Toyota,Fortuner,2015,176032,Dammam,White,Automatic,56000
Toyota,Avalon,2015,173144,Al Qassim,Blue,Automatic,56000
Hyundai,Santa Fe,2014,68000,Jeddah,Silver,Automatic,56000
Ford,Edge,2013,173954,Riyadh,Red,Automatic,56000
Kia,Sportage,2017,92000,Jeddah,White,Automatic,56000
Honda,Odyssey,2011,136325,Dammam,White,Automatic,56000
Volkswagen,Touareg,2017,125073,Al Riyadh,Black,Automatic,56000
Hyundai,Sonata,2016,36483,Dammam,White,Automatic,56000
Hyundai,Sonata,2017,32679,Dammam,Grey,Automatic,56000
Hyundai,Santafe,2014,64472,Jeddah,Silver,Automatic,56000
Hyundai,Sonata,2018,104662,Jeddah,White,Automatic,56000
Ford,Explorer,2012,115794,Dammam,Grey,Automatic,56000
Chevrolet,Impala,2014,90740,Riyadh,Golden,Automatic,56000
Hyundai,Sonata,2017,96687,Dammam,Brown,Automatic,56000
Honda,Pilot,2011,97682,Dammam,White,Automatic,56000
Toyota,Avalon,2015,174082,Al Qassim,Green,Automatic,56000
Dodge,Durango,2015,89517,Dammam,Blue,Automatic,56000
Hyundai,Accent,2016,64491,Dammam,White,Automatic,56000
Hyundai,Sonata,2016,82118,Dammam,White,Automatic,56000
Nissan,Navara,2015,143324,Jeddah,Brown,Manual,56000
Mitsubishi,Asx,2018,16000,Jeddah,White,Automatic,56000
Chevrolet,Tahoe Ls,2011,240000,Riyadh,White,Automatic,56000
Toyota,Corolla,2017,66405,Hail,Beige,Automatic,56000
Hyundai,Sonata,2018,118000,Jeddah,White,Automatic,56000
Isuzu,D Max,2016,155000,Jeddah,White,Manual,56000
Hyundai,Elantra,2016,7791,Abha,White,Automatic,56000
Hyundai,Santa Fe,2016,226000,Sharqiya,White,Automatic,56000
Ford,Flex,2011,99790,Riyadh,Brown,Automatic,56000
Honda,Civic,2018,95395,Riyadh,Red,Automatic,56000
Ford,Taurus,2015,107384,Jeddah,Black,Automatic,56000
Hyundai,Elantra,2016,55000,Jeddah,Red,Automatic,56000
Isuzu,D Max,2016,152826,Jeddah,White,Manual,56000
Hyundai,Elantra,2016,50817,Jeddah,Red,Automatic,56000
Chevrolet,Impala,2014,67898,Riyadh,Black,Automatic,56000
Ford,Edge,2013,118450,Dammam,Silver,Automatic,55999
Toyota,Corolla,2017,96755,Jeddah,White,Automatic,55960
Toyota,Corolla,2017,94092,Jeddah,White,Automatic,55960
Ford,Taurus,2013,146592,Dammam,Silver,Automatic,55900
Ford,Taurus,2013,145000,Dammam,Silver,Automatic,55900
Ford,Taurus,2014,110175,Riyadh,Black,Automatic,55800
Ford,Taurus,2014,113000,Riyadh,Black,Automatic,55800
Jeep,Cherokee,2011,143000,Riyadh,Black,Automatic,55800
Jeep,Cherokee,2011,140000,Riyadh,Black,Automatic,55800
Kia,Carens,2017,97888,Al Riyadh,Blue,Manual,55700
Toyota,Corolla,2018,23918,Jeddah,White,Automatic,55650
Mazda,Cx9,2011,108880,Jeddah,Grey,Automatic,55000
Toyota,Camry,2017,65526,Jazan,Blue,Manual,55000
Lexus,Ls,2008,214717,Dammam,Silver,Automatic,55000
Jeep,Laredo,2014,114000,Riyadh,White,Automatic,55000
Kia,Sportage,2016,120000,Jeddah,Brown,Automatic,55000
Toyota,Rav4,2014,133817,Al Khobar,Silver,Automatic,55000
Dodge,Charger,2014,219000,Jeddah,Gray,Automatic,55000
Kia,Sportage,2016,54031,Jazan,Grey,Automatic,55000
Mazda,6,2016,32988,Riyadh,Red,Automatic,55000
Dodge,Durango,2012,170178,Dammam,Silver,Automatic,55000
Kia,Cadenza,2017,127252,Jeddah,Black,Automatic,55000
Hyundai,H1,2014,79229,Riyadh,White,Automatic,55000
Honda,Accord,2013,95713,Riyadh,Blue,Automatic,55000
Kia,Quoris,2013,130000,Sharqiya,Purple,Automatic,55000
Toyota,Camry,2014,48629,Dammam,White,Automatic,55000
Ford,Taurus,2014,72620,Riyadh,Black,Automatic,55000
Mini,Cooper S,2013,47000,Jeddah,Blue,Automatic,55000
Lexus,Es,2011,146095,Dammam,Blue,Automatic,55000
Toyota,Camry,2011,139733,Dammam,Blue,Automatic,55000
Mazda,Cx3,2018,40643,Jeddah,Grey,Automatic,55000
Toyota,Fortuner,2014,44950,Dammam,Silver,Automatic,55000
Lexus,Ls460,2008,225000,Dammam,Silver,Automatic,55000
Honda,Civic,2016,36645,Al Riyadh,Black,Automatic,55000
Honda,Accord,2013,240000,Jeddah,White,Automatic,55000
Chevrolet,Impala,2015,178188,Jeddah,Grey,Automatic,55000
Toyota,Fortuner,2015,112695,Riyadh,White,Automatic,55000
Kia,Sorento,2014,65047,Dammam,White,Automatic,55000
Hyundai,Sonata,2016,54769,Riyadh,Silver,Automatic,55000
Honda,Civic,2016,29697,Jeddah,Silver,Automatic,55000
Chevrolet,Silverado,2010,132000,Dammam,White,Automatic,55000
Mazda,6,2016,92000,Riyadh,White,Automatic,55000
Toyota,Orion,2015,82000,Jeddah,Black,Automatic,55000
Ford,Expedition,2016,38232,Al Madinah,White,Automatic,55000
Gmc,Acadia,2016,119431,Jazan,Black,Automatic,55000
Mazda,6,2015,40664,Dammam,Grey,Automatic,55000
Ford,Taurus,2016,251971,Riyadh,Grey,Automatic,55000
Volkswagen,Passat,2016,42000,Jeddah,White,Automatic,55000
Chevrolet,Aveo,2016,270769,Al Riyadh,Beige,Automatic,55000
Nissan,Murano,2009,170971,Riyadh,White,Automatic,55000
Land Rover,Sport,2011,492330,Dammam,Black,Automatic,55000
Volkswagen,Cc,2014,45000,Sharqiya,Black,Automatic,55000
Chevrolet,Caprice,2012,134152,Dammam,Black,Automatic,55000
Honda,Accord,2016,18076,Al Riyadh,Green,Automatic,55000
Dodge,Charger,2014,147131,Dammam,White,Automatic,55000
Chevrolet,Traverse,2014,96074,Jeddah,Gold,Automatic,55000
Mazda,6,2018,85112,Makkah,Blue,Automatic,55000
Dodge,Durango,2014,144000,Riyadh,Silver,Automatic,55000
Hyundai,Sonata,2016,95000,Riyadh,Grey,Automatic,55000
Volkswagen,Beetle Turbo,2015,85000,Sharqiya,Blue,Automatic,55000
Hyundai,Sonata,2017,78000,Riyadh,White,Automatic,55000
Honda,Accord,2016,15460,Jeddah,Black,Automatic,55000
Honda,Accord,2014,192000,Riyadh,Maroon,Automatic,55000
Kia,Sorento,2016,83826,Riyadh,Grey,Automatic,55000
Toyota,Prado,2012,429927,Jeddah,Gold,Automatic,55000
Ford,Expedition,2014,85000,Riyadh,White,Automatic,55000
Chevrolet,Tahoe Lt,2014,156000,Jeddah,Grey,Automatic,55000
Gmc,Yukon,2011,160000,Jeddah,Black,Automatic,55000
Hyundai,Elantra,2018,32000,Riyadh,Silver,Automatic,55000
Nissan,Navara,2016,69000,Dammam,White,Manual,55000
Hyundai,Tucson,2016,134000,Riyadh,White,Automatic,55000
Ford,Crown Victoria,2011,70000,Jeddah,White,Automatic,55000
Lexus,Gs,2009,141313,Riyadh,White,Automatic,55000
Nissan,Quest,2012,168589,Riyadh,Grey,Automatic,55000
Nissan,Altima,2014,100977,Jeddah,Red,Automatic,55000
Ford,Mustang,2011,99272,Dammam,Blue,Automatic,55000
Chevrolet,Tahoe,2012,170986,Dammam,Black,Automatic,55000
Honda,Accord,2013,426627,Jeddah,White,Automatic,55000
Toyota,Hilux,2016,14488,Dammam,White,Manual,55000
Ford,Crown Victoria,2016,324678,Jeddah,Silver,Automatic,55000
Ford,Expedition,2012,190124,Jeddah,White,Automatic,55000
Kia,Sorento,2016,81000,Riyadh,Dark Gray,Automatic,55000
Chevrolet,Tahoe,2012,170000,Dammam,Black,Automatic,55000
Chevrolet,Tahoe Ls,2011,280000,Riyadh,White,Automatic,55000
Kia,Carnival,2016,99000,Jeddah,White,Automatic,55000
Dodge,Durango,2014,141477,Riyadh,Silver,Automatic,55000
Ford,Expedition,2012,195000,Jeddah,White,Automatic,55000
Mazda,Cx9,2011,106000,Riyadh,Silver,Automatic,55000
Ford,Explorer,2011,102118,Dammam,Black,Automatic,55000
Honda,Accord,2013,95000,Riyadh,Silver,Automatic,55000
Mazda,Cx9,2015,187889,Riyadh,Blue,Automatic,55000
Ford,Explorer,2011,232000,Jeddah,Maroon,Automatic,55000
Toyota,Hilux,2015,44936,Dammam,White,Manual,55000
Dodge,Challenger,2011,140000,Jeddah,Black,Automatic,55000
Ford,Taurus Sel,2015,204000,Riyadh,White,Automatic,55000
Jeep,Cherokee,2011,103036,Riyadh,Black,Automatic,55000
Ford,Mustang,2016,17296,Mecca,White,Automatic,55000
Jeep,Cherokee,2011,93716,Riyadh,Black,Automatic,55000
Ford,Taurus,2013,100373,Riyadh,Black,Automatic,55000
Toyota,Tundra Double Cab Sr5,2010,169000,Sharqiya,White,Automatic,55000
Ford,Expedition,2014,104000,Riyadh,Grey,Automatic,55000
Suzuki,Vitara,2016,1210,Dammam,White,Manual,55000
Hyundai,Tucson,2016,147153,Riyadh,White,Automatic,55000
Hyundai,Tucson,2016,131582,Riyadh,White,Automatic,55000
Chevrolet,Impala,2016,84877,Jeddah,White,Automatic,55000
Isuzu,D Max,2016,200000,Jeddah,White,Manual,55000
Chevrolet,Caprice,2016,336352,Al Riyadh,Grey,Automatic,55000
Chrysler,300,2012,179192,Dammam,Grey,Automatic,55000
Chevrolet,Silverado,2010,136206,Riyadh,White,Automatic,55000
Toyota,Hilux,2014,89889,Jeddah,White,Manual,55000
Kia,Carnival,2016,83000,Sharqiya,White,Automatic,55000
Gmc,Acadia,2009,134125,Riyadh,White,Automatic,55000
Gmc,Suburban,2016,302204,Jeddah,Blue,Automatic,55000
Ford,Explorer,2014,132042,Riyadh,Silver,Automatic,55000
Nissan,Jock,2016,47000,Jeddah,White,Automatic,55000
Chrysler,300C,2016,321387,Nairyah,White,Automatic,55000
Ford,Explorer,2010,85366,Jeddah,White,Automatic,55000
Isuzu,D Max,2016,130000,Jeddah,White,Manual,55000
Toyota,Innova,2014,159968,Dammam,White,Automatic,55000
Nissan,Altima,2017,78000,Riyadh,White,Automatic,55000
Land Rover,Range Rover,2011,200000,Dammam,Black,Automatic,55000
Nissan,Navara,2016,63776,Dammam,White,Manual,55000
Gmc,Yukon,2011,166884,Jeddah,Black,Automatic,55000
Kia,Sportage,2017,64000,Jeddah,White,Automatic,55000
Isuzu,D Max,2016,150000,Jeddah,White,Manual,55000
Mitsubishi,Native,2017,50429,Al Riyadh,White,Automatic,55000
Honda,Accord,2015,68615,Dammam,White,Automatic,55000
Ford,Explorer,2011,256294,Jeddah,Brown,Automatic,55000
Hyundai,Tucson,2016,145000,Riyadh,White,Automatic,55000
Cadillac,Escalade Esv,2008,492459,Al Khobar,White,Automatic,55000
Kia,Optima,2016,120000,Jeddah,Red,Automatic,55000
Jeep,Grand Cherokee Limited,2013,132000,Riyadh,White,Automatic,55000
Lexus,Es,2011,364478,Jeddah,Silver,Automatic,55000
Mazda,Cx9,2011,101461,Riyadh,Silver,Automatic,55000
Hyundai,Accent,2017,76339,Arar,Blue,Manual,55000
